generated_candidate_id,status,vina_affinity,pose_qc,pose_count,failure_category,failure_reason,protocol_id,protocol_hash,receptor_hash,tool_hash,ligand_hash,pose_hash,job_signature,cached,pose_path,job_folder
ATP-GEN-7D56AC38C465,success,-8.33,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,268c154da59d98fb77d1051a8f815f0c6ad802454353ade02350cb70b55f54f8,126ff9062192f4fceda1c10f4d7b17cd0586dea28f99d9a993a79a8142d3ecbd,4afd3d88a48d7126e4c4b6088aabb8e30977f294c5af283724ca864624e4c052,True,results\phase16\poses\ATP-GEN-7D56AC38C465_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\4a\4afd3d88a48d7126e4c4b6088aabb8e30977f294c5af283724ca864624e4c052
ATP-GEN-891DB7951136,success,-8.197,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,2a05c929bcca2595c5cd835e7959ad9159d0aac999cff529b1076ce539828d1f,44b489d4c726704d608c68f16a64067f7a3bcb193cb50c5bda876fb8581278fc,f8c70f49927f60c8bbfca010c5a71e1af5865495bb263f1f9530f7474fb3d878,True,results\phase16\poses\ATP-GEN-891DB7951136_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\f8\f8c70f49927f60c8bbfca010c5a71e1af5865495bb263f1f9530f7474fb3d878
ATP-GEN-1E38DA7FDC29,success,-8.086,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,53bf19ae61d5448f259ec993240addfa85c27f7b1ee59a2d6b907158a503481e,5602e762cb7260c1689e42d68f364f5eaf584d6bb607678dde9745b632492f27,1c86981969846b214fc3fe4a74de4643208e5f1036512df029bcc89f831e2aae,True,results\phase16\poses\ATP-GEN-1E38DA7FDC29_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\1c\1c86981969846b214fc3fe4a74de4643208e5f1036512df029bcc89f831e2aae
ATP-GEN-7E64569B2DE9,success,-7.849,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,2855138f4df13138b89f4a5744db1e2c50cfa3b9a27086950b21921c98d95858,98dacb032c05b53836a14db25cf93b34adf055843d9a0a208a22bf3b535f8f7a,72e2cb69f99bbd962f82dbf9d33c92a93d80669f5e98fe34eaa31a7d4a8cffec,True,results\phase16\poses\ATP-GEN-7E64569B2DE9_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\72\72e2cb69f99bbd962f82dbf9d33c92a93d80669f5e98fe34eaa31a7d4a8cffec
ATP-GEN-C50E5637374D,success,-8.225,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,42ab140a71e2efca1966c7581b423846abf92c605ad1d1a937f80df05467f51a,643106f5288037c7f9888cc1d9aa44586d56218ff504e7725f8cd13acb51b5e1,da5ab0d088d66655f47daa6d9270c08b314b5146ae0bf7694e3b503162183545,True,results\phase16\poses\ATP-GEN-C50E5637374D_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\da\da5ab0d088d66655f47daa6d9270c08b314b5146ae0bf7694e3b503162183545
ATP-GEN-744A80228AD6,success,-8.099,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,4a7b6431fb86b0028de356a3df38b0b15634ebdd1d9dc6c6ef4d88004e9180d0,da86a335519cb451505c256ce3db1e2067ca33601c513aa96ecb515f77fe9677,05da666937e64074fdb46d304e6ce5c52d41b214e917c8fa2b40fd8e8f8903b8,True,results\phase16\poses\ATP-GEN-744A80228AD6_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\05\05da666937e64074fdb46d304e6ce5c52d41b214e917c8fa2b40fd8e8f8903b8
ATP-GEN-462185181D80,success,-7.498,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,6d9ab0358a93c2c8722fc39aa8147ad1a1d65e3df5694319fe23378bfe89256c,1b9a95ff63585ecab8630edfd0eb5e55d91a5c87e30c72adc37cb8e3c97f01fd,cd4c658f89713e8579264fddd9953b04a94fad3cf33be652be576d42553d182a,True,results\phase16\poses\ATP-GEN-462185181D80_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\cd\cd4c658f89713e8579264fddd9953b04a94fad3cf33be652be576d42553d182a
ATP-GEN-F0615C474B1A,success,-7.935,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,1867af859409c3fb526c501ea97a2026f5d2e5ecd3f65cc566ed2dfee167bd22,39afcf6812bee93dbf6f78c70922864fab41fb7339f904841c257f1cfbdfe293,c1695fb9ceb5649ad9dda283f93af3abd00adaea5e732c3d62e8faf4f8750ab6,True,results\phase16\poses\ATP-GEN-F0615C474B1A_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\c1\c1695fb9ceb5649ad9dda283f93af3abd00adaea5e732c3d62e8faf4f8750ab6
ATP-GEN-8A306D50DD79,success,-7.489,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,fc20b431184a7e5c6d8077a5ceb5815207d6e6d233241d1b94e6fc8fe8027aa2,d3a78418d584fe9041761f53966362a78f23eb7ac0f0431e997b7921e77fe9a1,a94ef4fb3b07320ac3c059212e3f44cd047f48a09202c16c611746652794b1e8,True,results\phase16\poses\ATP-GEN-8A306D50DD79_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\a9\a94ef4fb3b07320ac3c059212e3f44cd047f48a09202c16c611746652794b1e8
ATP-GEN-08A6DA935C86,success,-7.778,pass,9,,,vina_7p3w_v1,19ff755d00741e9d2ec60c732f24dea6a28fd4f478940b28dbc11bea68c3fe36,e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed,e0c4b2715e0c1a74f6e92d0f3be0328ac97542eafbc111e6b1efad897a73cce5,c3d5e0dbbf4c56802ecb9c77a4042dd8d13327a533ff0145813e26a7c2f6394b,e44df93ae7946340b52d1d1c6df5711bd2560833d326e5849e873c48619ff605,5d49da3c74cc772d6b2539db82bf371861b7ff90d665aa354bfce3b24dc4817e,True,results\phase16\poses\ATP-GEN-08A6DA935C86_vina_7p3w_v1.pdbqt,D:\tiaozhansai\ATP-Navigator\workspace_local\phase16_vina\jobs\5d\5d49da3c74cc772d6b2539db82bf371861b7ff90d665aa354bfce3b24dc4817e
