profile_a,profile_b,n_candidates,spearman,kendall_tau,semantics
balanced,balanced,17,1.0,1.0,decision_profile_rank_stability_not_biological_performance
balanced,binding_focused,17,0.8161764705882354,0.6617647058823529,decision_profile_rank_stability_not_biological_performance
balanced,atp_mechanism_focused,17,0.7549019607843138,0.588235294117647,decision_profile_rank_stability_not_biological_performance
balanced,experimental_validation_focused,17,0.9779411764705883,0.8970588235294118,decision_profile_rank_stability_not_biological_performance
binding_focused,balanced,17,0.8161764705882354,0.6617647058823529,decision_profile_rank_stability_not_biological_performance
binding_focused,binding_focused,17,1.0,1.0,decision_profile_rank_stability_not_biological_performance
binding_focused,atp_mechanism_focused,17,0.46813725490196084,0.338235294117647,decision_profile_rank_stability_not_biological_performance
binding_focused,experimental_validation_focused,17,0.7622549019607844,0.588235294117647,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,balanced,17,0.7549019607843138,0.588235294117647,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,binding_focused,17,0.46813725490196084,0.338235294117647,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,atp_mechanism_focused,17,1.0,1.0,decision_profile_rank_stability_not_biological_performance
atp_mechanism_focused,experimental_validation_focused,17,0.8480392156862745,0.6911764705882353,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,balanced,17,0.9779411764705883,0.8970588235294118,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,binding_focused,17,0.7622549019607844,0.588235294117647,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,atp_mechanism_focused,17,0.8480392156862745,0.6911764705882353,decision_profile_rank_stability_not_biological_performance
experimental_validation_focused,experimental_validation_focused,17,1.0,1.0,decision_profile_rank_stability_not_biological_performance
